Title,Reference Number,DOI,Year
Microbially-reduced graphene scaffolds to facilitate extracellular electron transfer in microbial fuel cells,152,10.1016/j.biortech.2012.03.118,2012
Recent advance in new-generation integrated devices for energy harvesting and storage,153,10.1016/j.nanoen.2019.03.074,2019
Porous Ni0.1Mn0.9O1.45 microellipsoids as high-performance anode electrocatalyst for microbial fuel cells,154,10.1016/j.bios.2017.11.046,2018
Macroscale porous carbonized polydopamine-modified cotton textile for application as electrode in microbial fuel cells,155,10.1016/j.jpowsour.2017.11.071,2018
Enhanced power generation of microbial fuel cell using manganese dioxide-coated anode in flow-through mode,156,10.1016/j.jpowsour.2014.09.129,2015
Binder-free graphene and manganese oxide coated carbon felt anode for high-performance microbial fuel cell,157,10.1016/j.bios.2016.02.051,2016
Tubular bamboo charcoal for anode in microbial fuel cells,158,10.1016/j.jpowsour.2014.08.115,2014
Enhanced performance of microbial fuel cell with a bacteria/multi-walled carbon nanotube hybrid biofilm,159,10.1016/j.jpowsour.2017.06.069,2017
Brush-like polyaniline nanoarray modified anode for improvement of power output in microbial fuel cell,160,10.1016/j.biortech.2017.02.124,2017
"Microbial fuel cell hybrid systems for wastewater treatment and bioenergy production: synergistic effects, mechanisms and challenges",161,10.1016/j.rser.2018.12.027,2019
A graphene modified anode to improve the performance of microbial fuel cells,162,10.1016/j.jpowsour.2011.02.067,2011
Nanostructured material-based biofuel cells: recent advances and future prospects,163,10.1039/C6CS00044D,2017
Enhancement of bioelectricity generation by synergistic modification of vertical carbon nanotubes/polypyrrole for the carbon fibers anode in microbial fuel cell,164,10.1016/j.electacta.2018.11.039,2019
PEDOT-based composites as electrode materials for supercapacitors,165,10.1088/0957-4484/27/4/042001,2016
Enhanced electricity generation performance and dye wastewater degradation of microbial fuel cell by using a petaline NiO@ polyaniline-carbon felt anode,166,10.1016/j.biortech.2018.01.117,2018
An overview of electrode materials in microbial fuel cells,167,10.1016/j.jpowsour.2011.01.012,2011
Biosynthetic graphene enhanced extracellular electron transfer for high performance anode in microbial fuel cell,168,10.1016/j.chemosphere.2019.05.191,2019
Surface oxygen-rich titanium as anode for high performance microbial fuel cell,169,10.1016/j.electacta.2016.05.103,2016
Improved performance of membrane free single-chamber air-cathode microbial fuel cells with nitric acid and ethylenediamine surface modified activated carbon fiber felt anodes,170,10.1016/j.biortech.2010.06.046,2011
Electrodeposition of graphene by cyclic voltammetry on nickel electrodes for microbial fuel cells applications,171,10.1002/er.4351,2019
Enhanced extracellular electron transfer between Shewanella putrefaciens and carbon felt electrode modified by bio-reduced graphene oxide,172,10.1016/j.scitotenv.2019.07.104,2019
Nanoporous Mo2C functionalized 3D carbon architecture anode for boosting flavins mediated interfacial bioelectrocatalysis in microbial fuel cells,173,10.1016/j.jpowsour.2017.05.101,2017
